Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
product manager interview questions,IN,15 Product Manager Interview Questions to Review,Published,2024-02-29,https://www.coursera.org/in/articles/product-manager-interview-questions,Izea,Business,Leadership and Management,"Product Manager,Interviews","Starter,Switcher",Applying,Interview Questions
inside sales representative ,CA,Inside Sales Representative: Career Outlook 2026,Requires Edits,2024-04-12,https://www.coursera.org/ca/articles/inside-sales-representative,Izea,Business,Sales,Sales Representative,"Starter,Switcher",Considering,Career Overview
business data analyst,IN,What Does a Business Data Analyst Do? 2026 Career Guide,Published,2024-03-06,https://www.coursera.org/in/articles/business-data-analyst,Izea,Data,Data Analytics,Business Analyst,"Starter,Switcher",Considering,Career Overview
numpy interview questions,IN,Asked and Answered: 10 NumPy Interview Questions to Master,Published,2024-03-08,https://www.coursera.org/in/articles/numpy-interview-questions,Izea,Data,Data Basics,Interviews,Starter,Considering,Interview Questions
sla,GB,What Is a Service Level Agreement (SLA)? And How to Write One,Published,2024-05-20,https://www.coursera.org/gb/articles/sla,Izea,Business,Sales,Sales Operations Specialist,"Starter,Advancer",Current,Long Explainer
what is data analysis,IN,What Is Data Analysis? (With Examples),Published,2023-06-13,https://www.coursera.org/in/articles/what-is-data-analysis-with-examples,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Long Explainer
cv example,GB,CV Examples: How to Find the Right CV Type,Published,2022-11-11,https://www.coursera.org/gb/articles/cv-example,Izea,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
types of neural networks,IN,8 Common Types of Neural Networks,Published,2024-03-11,https://www.coursera.org/in/articles/types-of-neural-networks,Izea,Data,"Data Engineering,Data Science","Data Engineer,Data Scientist",Starter,"Considering,Applying",Short Explainer
data engineer salary,CA,Data Engineering Salary: Your 2026 Guide,Published,2024-05-08,https://www.coursera.org/ca/articles/data-engineer-salary,Izea,Data,Data Engineering,Data Engineer,"Starter,Switcher",Considering,Salary Guide
project management degree,GB,"Project Management Degrees, Courses, and Certifications",Published,2022-11-10,https://www.coursera.org/gb/articles/project-management-degree,Izea,Degrees,"Leadership and Management,Degrees by Topic","Business Degrees,Project Manager","Starter,Switcher",Considering,Do You Need a Degree
accounts payable,GB,What Does an Accounts Payable Specialist Do?,Published,2024-05-20,https://www.coursera.org/gb/articles/accounts-payable,Izea,Business,Finance,Bookkeeper,"Starter,Switcher",Considering,Career Overview
capm ,CA,What Is the CAPM Certification? Requirements and More,Requires Edits,2024-04-16,https://www.coursera.org/ca/articles/capm-certification-guide,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Certification
statistical modeling,GB,What Is Statistical Modelling?,Published,2024-05-20,https://www.coursera.org/gb/articles/statistical-modeling,Izea,Data,Data Science,Data Scientist,"Starter,Switcher","Considering,Current",Long Explainer
business development manager,GB,What Does a Business Development Manager Do?,Published,2024-05-20,https://www.coursera.org/gb/articles/business-development-manager,Izea,Business,Leadership and Management,,"Starter,Switcher,Advancer",Considering,Career Overview
shrm certified,IN,How to Become SHRM Certified And Build HR Credibility,Published,2025-02-04,https://www.coursera.org/in/articles/shrm-certified,Izea,Business,Leadership and Management,Human Resources Specialist,"Switcher,Advancer",Applying,How to (General)
brand strategy,IN,What Is a Brand Strategy? And How to Create One,Published,2024-02-29,https://www.coursera.org/in/articles/brand-strategy,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher","Considering,Current",Long Explainer
hashing in data structure,IN,Introduction to Hashing in Data Structures,Published,2025-03-17,https://www.coursera.org/in/articles/hashing-in-data-structure,Izea,Data,"Data Basics,Data Engineering",Data Engineer,Starter,Considering,Long Explainer
data lake vs data warehouse ,CA,Data Lake vs. Data Warehouse: What’s the Difference?,Published,2024-02-21,https://www.coursera.org/ca/articles/data-lake-vs-data-warehouse,Izea,Data,"Data Engineering,Data Analytics,Data Basics,Data Science",Data Engineer,"Starter,Switcher",Considering,Comparison
home business ideas,GB,6 Home Business Ideas to Help You Kickoff Your Next Venture,Published,2024-05-20,https://www.coursera.org/gb/articles/home-business-ideas,Izea,Business,Entrepreneurship,Entrepreneur,"Starter,Switcher",Considering,Career Options
work breakdown structure,IN,"Work Breakdown Structure (WBS): An Overview, Uses, Software",Published,2024-02-26,https://www.coursera.org/in/articles/work-breakdown-structure,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Long Explainer
account manager career path ,CA,Account Manager Career Path Guide (2026),Requires Edits,2024-04-16,https://www.coursera.org/ca/articles/account-manager-career-path-guide,Izea,Business,Leadership and Management,Accountant,"Advancer,Switcher",Considering,Career Path
what is deep learning,CA,"What Is Deep Learning? Definition, Examples, and Careers",Published,2024-02-21,https://www.coursera.org/ca/articles/what-is-deep-learning,Izea,Data,"AI and Machine Learning,Data Science",Machine Learning Engineer,"Starter,Switcher",Considering,Long Explainer
project management lifecycle,GB,What Is the Project Management Lifecycle? A Beginner’s Guide,Published,2022-11-07,https://www.coursera.org/gb/articles/project-management-lifecycle,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Long Explainer
digital supply chain,CA,"Digital Supply Chains: Definition, Benefits, and Careers",Published,2024-04-18,https://www.coursera.org/ca/articles/digital-supply-chain,Izea,Business,Business Strategy,Supply Chain Analyst,"Switcher,Starter",Considering,Long Explainer
international marketing,GB,International Marketing: Career Guide (2026),Published,2024-10-29,https://www.coursera.org/gb/articles/international-marketing,Izea,Business,Marketing,Marketing Analyst,"Starter,Switcher",Considering,Career Overview
statistician ,CA,Your Guide to a Career as a Statistician—What to Expect,Published,2024-02-21,https://www.coursera.org/ca/articles/statistician,Izea,Data,"Data Science,Data Basics",Data Scientist,"Starter,Switcher",Considering,Career Overview
marketing careers,IN,Marketing Careers: 6 Areas to Explore,Published,2024-02-29,https://www.coursera.org/in/articles/marketing-careers,Izea,Business,Marketing,"Choosing a Career,Career Advancement","Starter,Switcher",Considering,Career Options
international marketing ,CA,International Marketing: 2026 Career Guide,Requires Edits,2024-04-17,https://www.coursera.org/ca/articles/international-marketing,Izea,Business,Marketing,Marketing Analyst,"Starter,Switcher",Considering,Career Overview
digital marketing salary,GB,Digital Marketing Salary: What Can You Expect in 2026?,Published,2023-08-25,https://www.coursera.org/gb/articles/digital-marketing-salary,Izea,Business,Marketing,Digital Marketer,"Starter,Switcher,Advancer",Considering,Salary Guide
bookkeeping,IN,What Is Bookkeeping? Getting Started in Accounting,Published,2023-11-20,https://www.coursera.org/in/articles/what-is-bookkeeping,Izea,Business,Finance,"Accountant,Bookkeeper","Starter,Switcher",Considering,Career Overview
what is erp,CA,What Is Enterprise Resource Planning (ERP)?,Requires Edits,2024-04-17,https://www.coursera.org/ca/articles/what-is-erp,Izea,Business,Business Strategy,Supply Chain Analyst,"Starter,Switcher",Considering,Long Explainer
data analytics certification,IN,6 Popular Data Analytics Certifications: Your 2026 Guide,Published,2023-06-21,https://www.coursera.org/in/articles/data-analytics-certification,Izea,Data,Data Analytics,Data Analyst,"Switcher,Advancer",Current,Certification
mysql interview questions,IN,Common MySQL Interview Questions,Published,2024-02-13,https://www.coursera.org/in/articles/mysql-interview-questions,Izea,Data,"Data Basics,Data Analytics","Data Analyst,Interviews","Starter,Switcher",Applying,Interview Questions
machine learning in finance,GB,A Guide to Machine Learning in Finance,Published,2024-05-20,https://www.coursera.org/gb/articles/machine-learning-in-finance,Izea,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher",Considering,Long Explainer
graphic design degree,GB,Your Guide to Graphic Design Degrees,Published,2023-04-04,https://www.coursera.org/gb/articles/graphic-design-degree,Izea,Degrees,"Design and Product,Degrees by Topic","Computer Science Degrees,Graphic Designer,UX Designer","Starter,Switcher",Considering,Degree Overview
distance learning,GB,What Is Distance Learning: And Is It For You?,Published,2022-11-29,https://www.coursera.org/gb/articles/distance-learning,Izea,Degrees,Degree Advice,Degree FAQ,"Starter,Switcher,Advancer",Considering,
data analytics,CA,"What Is Data Analytics? Key Concepts, Skills, and Careers",Published,2023-04-13,https://www.coursera.org/ca/articles/data-analytics,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Long Explainer
machine learning models,IN,Machine Learning Models: What They Are and How to Build Them,Published,2024-04-25,https://www.coursera.org/in/articles/machine-learning-models,Izea,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Starter,Switcher",Considering,Long Explainer
hr specialist ,CA,HR Specialist Salary Information (2026),Requires Edits,2024-04-17,https://www.coursera.org/ca/articles/hr-specialist,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher",Considering,Salary Guide
is python object oriented,IN,Is Python Object-Oriented?,Published,2024-04-18,https://www.coursera.org/in/articles/is-python-object-oriented,Izea,Data,"Data Analytics,Data Science","Data Analyst,Software Engineer","Starter,Switcher",Considering,Long Explainer
data engineer,GB,What Is a Data Engineer?: A Guide to This In-Demand Career,Published,2023-08-30,https://www.coursera.org/gb/articles/what-does-a-data-engineer-do-and-how-do-i-become-one,Izea,Data,Data Engineering,Data Engineer,"Starter,Switcher",Considering,Career Overview
hr interview questions,GB,10 HR Interview Questions and How to Answer Them,Published,2024-05-20,https://www.coursera.org/gb/articles/hr-interview-questions,Izea,Business,Leadership and Management,"Human Resources Specialist,Interviews","Starter,Switcher",Considering,Interview Questions
social media jobs,GB,Social Media Jobs: 6 Roles to Explore,Published,2024-05-20,https://www.coursera.org/gb/articles/social-media-jobs,Izea,Business,Marketing,Social Media Marketer,"Starter,Switcher",Considering,Career Options
bi tools,GB,5 Business Intelligence Tools You Need to Know,Published,2023-08-29,https://www.coursera.org/gb/articles/bi-tools,Izea,Data,"Data Analytics,Business Strategy","Business Analyst,Data Analyst","Starter,Switcher","Considering,Current",Resources
marketing podcasts,GB,9 Marketing Podcasts for Beginners and Pros: 2026 List,Published,2023-08-29,https://www.coursera.org/gb/articles/marketing-podcasts,Izea,Business,Marketing,Marketing Analyst,"Starter,Switcher","Considering,Current",Resources
data science vs data analytics,IN,Data Science vs Data Analytics: Which Should You Choose?,Published,2024-03-04,https://www.coursera.org/in/articles/data-science-vs-data-analytics,Izea,Data,"Data Science,Data Analytics","Data Scientist,Data Analyst","Starter,Switcher",Considering,Comparison
sales manager,GB,4 Questions to Ask Before Pursuing a Sales Manager Career,Published,2024-05-21,https://www.coursera.org/gb/articles/sales-manager,Izea,Business,Sales,,"Starter,Switcher",Considering,Career Overview
product lifecycle ,CA,"A Look at Product Lifecycle: Management, Tools, Careers",Requires Edits,2024-04-18,https://www.coursera.org/ca/articles/product-lifecycle,Izea,Business,Leadership and Management,Product Manager,Advancer,Current,Long Explainer
six sigma certification,GB,"Six Sigma Certification: Benefits, Options, and How to Get Certified",Published,2024-05-21,https://www.coursera.org/gb/articles/six-sigma-certification,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Applying",Certification
